Название,Жанр,Режиссер,Страна,Год,IMDB
Американский психопат," ужасы, криминал, драма", Мэри Хэррон , США,2000 , 7.6 
Аладдин," мюзикл, фэнтези, приключения", Гай Ричи ," США, Великобритания, Сингапур",2019 , 6.9 
Kingsman: Золотое кольцо," боевик, приключения, комедия", Мэттью Вон ," США, Великобритания, Италия",2017 , 6.7 
Живая сталь," фантастика, боевик, драма", Шон Леви ," США, Индия",2011 , 7.1 
Трасса 60," приключения, фэнтези, комедия", Боб Гейл ," США, Канада",2001 , 7.5 
Звёздные войны: Эпизод 2 – Атака клонов," фантастика, фэнтези, боевик", Джордж Лукас ," США, Великобритания",2002 , 6.6 
Мистер и миссис Смит," боевик, комедия, криминал", Даг Лайман , США,2005 , 6.5 
Гран Торино, драма, Клинт Иствуд ," США, Германия",2008 , 8.1 
Храброе сердце," биография, драма, военный", Мэл Гибсон , США,1995 , 8.3 
Бэтмен против Супермена: На заре справедливости," фантастика, боевик, приключения", Зак Снайдер ," США, Марокко",2016 , 6.5 
Обливион," фантастика, боевик, триллер", Джозеф Косински , США,2013 , 7.0 
Человек дождя, драма, Барри Левинсон , США,1988 , 8.0 
